200	1.0488089172567e-008
250	1.38746906313026e-008
273.15	1.54302576609579e-008
300	1.72303253767393e-008
350	2.05822342557969e-008
400	2.39476190263668e-008
450	2.73376276457821e-008
500	3.075985441672e-008
550	3.42197627890272e-008
600	3.77214997429762e-008
650	4.12683756079926e-008
700	4.48631564739703e-008
750	4.8508248433179e-008
800	5.22058173711257e-008
850	5.59578691681847e-008
900	5.97663048918425e-008
950	6.3632959784089e-008
1000	6.75596315079091e-008
1050	7.1548101130035e-008
1100	7.56001491045029e-008
1150	7.9717567763573e-008
1200	8.39021713382574e-008
1250	8.8155804214969e-008
1300	9.24803479251429e-008
1350	9.68777272230961e-008
1357.6	9.75526290249003e-008
1400	1.01349915510292e-007
