% f_log(GV/m) T(K) deltaE(eV)
-9.21034037 1169.2 4.68953138
-9.21034037 1175.3 4.69057076
-9.21034037 1181.3 4.69161010
-9.21034037 1187.3 4.69264938
-9.21034037 1193.3 4.69366387
-9.21034037 1199.3 4.69470115
-9.21034037 1205.4 4.69573869
-9.21034037 1211.4 4.69677623
-9.21034037 1217.4 4.69781377
-9.21034037 1223.4 4.69885130
-9.21034037 1229.4 4.69988884
-9.21034037 1235.5 4.70092638
-9.21034037 1241.5 4.70196392
-9.21034037 1247.5 4.70300146
-9.21034037 1253.5 4.70403900
-9.21034037 1259.5 4.70507654
-9.21034037 1265.6 4.70611407
-9.21034037 1271.6 4.70715161
-9.21034037 1277.6 4.70818915
-9.21034037 1283.6 4.70922669
-9.21034037 1289.6 4.71026423
-9.21034037 1295.7 4.71130177
-9.21034037 1301.7 4.71233931
-9.21034037 1307.7 4.71337684
-9.21034037 1313.7 4.71441783
-9.21034037 1319.7 4.71545487
-9.21034037 1325.8 4.71649238
-9.21034037 1331.8 4.71752990
-9.21034037 1337.8 4.71856741
-9.21034037 1343.8 4.71960492
-9.21034037 1349.8 4.72064243
-9.21034037 1355.9 4.72167995
-9.21034037 1361.9 4.72271746
-9.21034037 1367.9 4.72375208
-9.21034037 1373.9 4.72478962
-9.21034037 1379.9 4.72582716
-9.21034037 1386.0 4.72686430
-9.21034037 1392.0 4.72790224
-9.21034037 1398.0 4.72893978
-9.21034037 1404.0 4.72997732
-9.21034037 1410.0 4.73101486
-9.21034037 1416.1 4.73205240
-9.21034037 1422.1 4.73309034
-9.21034037 1428.1 4.73412748
-9.21034037 1434.1 4.73516501
-9.21034037 1440.1 4.73620255
-9.21034037 1446.2 4.73724009
-9.21034037 1452.2 4.73827763
-9.21034037 1458.2 4.73931517
-9.21034037 1464.2 4.74035271
-9.21034037 1470.2 4.74139025
-9.21034037 1476.3 4.74242779
-9.21034037 1482.3 4.74346533
-9.21034037 1488.3 4.74450287
-9.21034037 1494.3 4.74554041
-9.21034037 1500.3 4.74657794
-9.21034037 1506.4 4.74761548
-9.21034037 1512.4 4.74865302
-9.21034037 1518.4 4.74969056
-9.21034037 1524.4 4.75072810
-9.21034037 1530.4 4.75176564
-9.21034037 1536.5 4.75280318
-9.21034037 1542.5 4.75384072
-9.21034037 1548.5 4.75487826
-9.21034037 1554.5 4.75591580
-9.21034037 1560.5 4.75695333
-9.21034037 1566.6 4.75799087
-9.21034037 1572.6 4.75902841
-9.21034037 1578.6 4.76006595
-9.21034037 1584.6 4.76110349
-9.21034037 1590.6 4.76214103
-9.21034037 1596.7 4.76317857
-9.21034037 1602.7 4.76421611
-9.21034037 1608.7 4.76525365
-9.21034037 1614.7 4.76629119
-9.21034037 1620.7 4.76732872
-9.21034037 1626.8 4.76836626
-9.21034037 1632.8 4.76940380
-9.21034037 1638.8 4.77044134
-9.21034037 1644.8 4.77147888
-9.21034037 1650.8 4.77251642
-9.21034037 1656.9 4.77355396
-9.21034037 1662.9 4.77459150
-9.21034037 1668.9 4.77562904
-9.21034037 1674.9 4.77666657
-9.21034037 1680.9 4.77770411
-9.21034037 1687.0 4.77874165
-9.21034037 1693.0 4.77977919
-9.21034037 1699.0 4.78081673
-9.21034037 1705.0 4.78185427
-9.21034037 1711.0 4.78289181
-9.21034037 1717.1 4.78392935
-9.21034037 1723.1 4.78496689
-9.21034037 1729.1 4.78600442
-9.21034037 1735.1 4.78704196
-9.21034037 1741.1 4.78807950
-9.21034037 1747.2 4.78911704
-9.21034037 1753.2 4.79015458
-9.21034037 1759.2 4.79119212
-9.21034037 1765.2 4.79222966
-9.21034037 1771.2 4.79326720
-9.21034037 1777.3 4.79430474
-9.21034037 1783.3 4.79534227
-9.21034037 1789.3 4.79637981
-9.21034037 1795.3 4.79741735
-9.21034037 1801.3 4.79845489
-9.21034037 1807.4 4.79949243
-9.21034037 1813.4 4.80052997
-9.21034037 1819.4 4.80156751
-9.21034037 1825.4 4.80260505
-9.21034037 1831.4 4.80364258
-9.21034037 1837.5 4.80468012
-9.21034037 1843.5 4.80571766
-9.21034037 1849.5 4.80675520
-9.21034037 1855.5 4.80779274
-9.21034037 1861.5 4.80883028
-9.21034037 1867.6 4.80986782
-9.21034037 1873.6 4.81090536
-9.21034037 1879.6 4.81194289
-9.21034037 1885.6 4.81298043
-9.21034037 1891.6 4.81401797
-9.21034037 1897.7 4.81505551
-9.21034037 1903.7 4.81609305
-9.21034037 1909.7 4.81713059
-9.21034037 1915.7 4.81816813
-9.21034037 1921.7 4.81920567
-9.21034037 1927.8 4.82024320
-9.21034037 1933.8 4.82128074
-9.21034037 1939.8 4.82231828
-9.21034037 1945.8 4.82335582
-9.21034037 1951.8 4.82439336
-9.21034037 1957.9 4.82543090
-9.21034037 1963.9 4.82646844
-9.21034037 1969.9 4.82750598
-9.21034037 1975.9 4.82854351
-9.21034037 1981.9 4.82958105
-9.21034037 1988.0 4.83061859
-9.21034037 1994.0 4.83165613
-9.21034037 2000.0 4.83269367
-9.17071028 200.0 4.52223150
-9.17071028 206.0 4.52326899
-9.17071028 212.0 4.52430648
-9.17071028 218.1 4.52534397
-9.17071028 224.1 4.52638147
-9.17071028 230.1 4.52741896
-9.17071028 236.1 4.52845646
-9.17071028 242.1 4.52949396
-9.17071028 248.2 4.53053147
-9.17071028 254.2 4.53156897
-9.17071028 260.2 4.53260648
-9.17071028 266.2 4.53364399
-9.17071028 272.2 4.53468149
-9.17071028 278.3 4.53571900
-9.17071028 284.3 4.53675652
-9.17071028 290.3 4.53779403
-9.17071028 296.3 4.53883154
-9.17071028 302.3 4.53986906
-9.17071028 308.4 4.54090657
-9.17071028 314.4 4.54194409
-9.17071028 320.4 4.54298160
-9.17071028 326.4 4.54401912
-9.17071028 332.4 4.54505664
-9.17071028 338.5 4.54609416
-9.17071028 344.5 4.54713168
-9.17071028 350.5 4.54816920
-9.17071028 356.5 4.54920672
-9.17071028 362.5 4.55024424
-9.17071028 368.6 4.55128177
-9.17071028 374.6 4.55231929
-9.17071028 380.6 4.55335682
-9.17071028 386.6 4.55439435
-9.17071028 392.6 4.55543188
-9.17071028 398.7 4.55646942
-9.17071028 404.7 4.55750696
-9.17071028 410.7 4.55854450
-9.17071028 416.7 4.55958204
-9.17071028 422.7 4.56061959
-9.17071028 428.8 4.56165714
-9.17071028 434.8 4.56269469
-9.17071028 440.8 4.56373225
-9.17071028 446.8 4.56476982
-9.17071028 452.8 4.56580739
-9.17071028 458.9 4.56684496
-9.17071028 464.9 4.56788254
-9.17071028 470.9 4.56892013
-9.17071028 476.9 4.56995772
-9.17071028 482.9 4.57099532
-9.17071028 489.0 4.57203292
-9.17071028 495.0 4.57307053
-9.17071028 501.0 4.57410815
-9.17071028 507.0 4.57514577
-9.17071028 513.0 4.57618340
-9.17071028 519.1 4.57722103
-9.17071028 525.1 4.57825866
-9.17071028 531.1 4.57929630
-9.17071028 537.1 4.58033395
-9.17071028 543.1 4.58137159
-9.17071028 549.2 4.58240924
-9.17071028 555.2 4.58344689
-9.17071028 561.2 4.58448455
-9.17071028 567.2 4.58552220
-9.17071028 573.2 4.58655985
-9.17071028 579.3 4.58759750
-9.17071028 585.3 4.58863516
-9.17071028 591.3 4.58967280
-9.17071028 597.3 4.59071045
-9.17071028 603.3 4.59174809
-9.17071028 609.4 4.59278572
-9.17071028 615.4 4.59382335
-9.17071028 621.4 4.59486098
-9.17071028 627.4 4.59589859
-9.17071028 633.4 4.59693620
-9.17071028 639.5 4.59797380
-9.17071028 645.5 4.59901139
-9.17071028 651.5 4.60004896
-9.17071028 657.5 4.60108653
-9.17071028 663.5 4.60212409
-9.17071028 669.6 4.60316163
-9.17071028 675.6 4.60419917
-9.17071028 681.6 4.60523669
-9.17071028 687.6 4.60627419
-9.17071028 693.6 4.60731169
-9.17071028 699.7 4.60834917
-9.17071028 705.7 4.60938664
-9.17071028 711.7 4.61042409
-9.17071028 717.7 4.61146153
-9.17071028 723.7 4.61249896
-9.17071028 729.8 4.61353637
-9.17071028 735.8 4.61457377
-9.17071028 741.8 4.61561116
-9.17071028 747.8 4.61664853
-9.17071028 753.8 4.61768590
-9.17071028 759.9 4.61872325
-9.17071028 765.9 4.61976059
-9.17071028 771.9 4.62079791
-9.17071028 777.9 4.62183523
-9.17071028 783.9 4.62287254
-9.17071028 790.0 4.62390984
-9.17071028 796.0 4.62494713
-9.17071028 802.0 4.62598441
-9.17071028 808.0 4.62702168
-9.17071028 814.0 4.62805895
-9.17071028 820.1 4.62909621
-9.17071028 826.1 4.63013347
-9.17071028 832.1 4.63117072
-9.17071028 838.1 4.63220797
-9.17071028 844.1 4.63324521
-9.17071028 850.2 4.63428245
-9.17071028 856.2 4.63531970
-9.17071028 862.2 4.63635694
-9.17071028 868.2 4.63739418
-9.17071028 874.2 4.63843142
-9.17071028 880.3 4.63946866
-9.17071028 886.3 4.64050591
-9.17071028 892.3 4.64154316
-9.17071028 898.3 4.64258041
-9.17071028 904.3 4.64361766
-9.17071028 910.4 4.64465492
-9.17071028 916.4 4.64569219
-9.17071028 922.4 4.64672946
-9.17071028 928.4 4.64776674
-9.17071028 934.4 4.64880403
-9.17071028 940.5 4.64984132
-9.17071028 946.5 4.65087862
-9.17071028 952.5 4.65191593
-9.17071028 958.5 4.65295325
-9.17071028 964.5 4.65399057
-9.17071028 970.6 4.65502791
-9.17071028 976.6 4.65606526
-9.17071028 982.6 4.65710261
-9.17071028 988.6 4.65813998
-9.17071028 994.6 4.65917736
-9.17071028 1000.7 4.66021475
-9.17071028 1006.7 4.66125215
-9.17071028 1012.7 4.66228956
-9.17071028 1018.7 4.66332698
-9.17071028 1024.7 4.66436441
-9.17071028 1030.8 4.66540185
-9.17071028 1036.8 4.66643931
-9.17071028 1042.8 4.66747677
