% f_log(GV/m) T(K) deltaE(eV)
-5.96067277 1524.4 4.70178563
-5.96067277 1530.4 4.70282325
-5.96067277 1536.5 4.70386087
-5.96067277 1542.5 4.70489849
-5.96067277 1548.5 4.70593611
-5.96067277 1554.5 4.70697373
-5.96067277 1560.5 4.70801135
-5.96067277 1566.6 4.70904897
-5.96067277 1572.6 4.71008658
-5.96067277 1578.6 4.71112420
-5.96067277 1584.6 4.71216182
-5.96067277 1590.6 4.71319943
-5.96067277 1596.7 4.71423705
-5.96067277 1602.7 4.71527466
-5.96067277 1608.7 4.71631227
-5.96067277 1614.7 4.71734989
-5.96067277 1620.7 4.71838750
-5.96067277 1626.8 4.71942511
-5.96067277 1632.8 4.72046272
-5.96067277 1638.8 4.72150033
-5.96067277 1644.8 4.72253794
-5.96067277 1650.8 4.72357555
-5.96067277 1656.9 4.72461316
-5.96067277 1662.9 4.72565077
-5.96067277 1668.9 4.72668838
-5.96067277 1674.9 4.72772598
-5.96067277 1680.9 4.72876359
-5.96067277 1687.0 4.72980120
-5.96067277 1693.0 4.73083880
-5.96067277 1699.0 4.73187641
-5.96067277 1705.0 4.73291402
-5.96067277 1711.0 4.73395162
-5.96067277 1717.1 4.73498922
-5.96067277 1723.1 4.73602683
-5.96067277 1729.1 4.73706443
-5.96067277 1735.1 4.73810203
-5.96067277 1741.1 4.73913964
-5.96067277 1747.2 4.74017724
-5.96067277 1753.2 4.74121484
-5.96067277 1759.2 4.74225244
-5.96067277 1765.2 4.74329004
-5.96067277 1771.2 4.74432764
-5.96067277 1777.3 4.74536524
-5.96067277 1783.3 4.74640284
-5.96067277 1789.3 4.74744044
-5.96067277 1795.3 4.74847804
-5.96067277 1801.3 4.74951564
-5.96067277 1807.4 4.75055323
-5.96067277 1813.4 4.75159083
-5.96067277 1819.4 4.75262843
-5.96067277 1825.4 4.75366603
-5.96067277 1831.4 4.75470362
-5.96067277 1837.5 4.75574122
-5.96067277 1843.5 4.75677881
-5.96067277 1849.5 4.75781940
-5.96067277 1855.5 4.75885698
-5.96067277 1861.5 4.75989456
-5.96067277 1867.6 4.76093213
-5.96067277 1873.6 4.76196970
-5.96067277 1879.6 4.76300728
-5.96067277 1885.6 4.76404485
-5.96067277 1891.6 4.76508243
-5.96067277 1897.7 4.76612000
-5.96067277 1903.7 4.76715758
-5.96067277 1909.7 4.76819515
-5.96067277 1915.7 4.76922972
-5.96067277 1921.7 4.77026732
-5.96067277 1927.8 4.77130491
-5.96067277 1933.8 4.77234250
-5.96067277 1939.8 4.77338009
-5.96067277 1945.8 4.77441768
-5.96067277 1951.8 4.77545527
-5.96067277 1957.9 4.77649286
-5.96067277 1963.9 4.77753045
-5.96067277 1969.9 4.77856804
-5.96067277 1975.9 4.77960563
-5.96067277 1981.9 4.78064321
-5.96067277 1988.0 4.78168080
-5.96067277 1994.0 4.78271839
-5.96067277 2000.0 4.78375598
-5.92104268 200.0 4.47221406
-5.92104268 206.0 4.47325556
-5.92104268 212.0 4.47429680
-5.92104268 218.1 4.47533780
-5.92104268 224.1 4.47637859
-5.92104268 230.1 4.47741918
-5.92104268 236.1 4.47845959
-5.92104268 242.1 4.47949983
-5.92104268 248.2 4.48053993
-5.92104268 254.2 4.48157988
-5.92104268 260.2 4.48261971
-5.92104268 266.2 4.48365943
-5.92104268 272.2 4.48469903
-5.92104268 278.3 4.48573853
-5.92104268 284.3 4.48677794
-5.92104268 290.3 4.48781726
-5.92104268 296.3 4.48885650
-5.92104268 302.3 4.48989567
-5.92104268 308.4 4.49093476
-5.92104268 314.4 4.49197379
-5.92104268 320.4 4.49301275
-5.92104268 326.4 4.49405166
-5.92104268 332.4 4.49509051
-5.92104268 338.5 4.49612931
-5.92104268 344.5 4.49716807
-5.92104268 350.5 4.49820677
-5.92104268 356.5 4.49924544
-5.92104268 362.5 4.50028406
-5.92104268 368.6 4.50132264
-5.92104268 374.6 4.50236119
-5.92104268 380.6 4.50339970
-5.92104268 386.6 4.50443818
-5.92104268 392.6 4.50547663
-5.92104268 398.7 4.50651505
-5.92104268 404.7 4.50755345
-5.92104268 410.7 4.50859181
-5.92104268 416.7 4.50963016
-5.92104268 422.7 4.51066848
-5.92104268 428.8 4.51170677
-5.92104268 434.8 4.51274505
-5.92104268 440.8 4.51378331
-5.92104268 446.8 4.51482154
-5.92104268 452.8 4.51585976
-5.92104268 458.9 4.51689797
-5.92104268 464.9 4.51793616
-5.92104268 470.9 4.51897433
-5.92104268 476.9 4.52001249
-5.92104268 482.9 4.52105064
-5.92104268 489.0 4.52208877
-5.92104268 495.0 4.52312689
-5.92104268 501.0 4.52416501
-5.92104268 507.0 4.52520311
-5.92104268 513.0 4.52624120
-5.92104268 519.1 4.52727928
-5.92104268 525.1 4.52831735
-5.92104268 531.1 4.52935542
-5.92104268 537.1 4.53039348
-5.92104268 543.1 4.53143152
-5.92104268 549.2 4.53246956
-5.92104268 555.2 4.53350760
-5.92104268 561.2 4.53454562
-5.92104268 567.2 4.53558364
-5.92104268 573.2 4.53662165
-5.92104268 579.3 4.53765965
-5.92104268 585.3 4.53869765
-5.92104268 591.3 4.53973563
-5.92104268 597.3 4.54077361
-5.92104268 603.3 4.54181158
-5.92104268 609.4 4.54284955
-5.92104268 615.4 4.54388750
-5.92104268 621.4 4.54492545
-5.92104268 627.4 4.54596338
-5.92104268 633.4 4.54700131
-5.92104268 639.5 4.54803923
-5.92104268 645.5 4.54907714
-5.92104268 651.5 4.55011504
-5.92104268 657.5 4.55115293
-5.92104268 663.5 4.55219081
-5.92104268 669.6 4.55322867
-5.92104268 675.6 4.55426653
-5.92104268 681.6 4.55530438
-5.92104268 687.6 4.55634221
-5.92104268 693.6 4.55738003
-5.92104268 699.7 4.55841785
-5.92104268 705.7 4.55945565
-5.92104268 711.7 4.56049343
-5.92104268 717.7 4.56153121
-5.92104268 723.7 4.56256897
-5.92104268 729.8 4.56360673
-5.92104268 735.8 4.56464447
-5.92104268 741.8 4.56568220
-5.92104268 747.8 4.56671991
-5.92104268 753.8 4.56775762
-5.92104268 759.9 4.56879531
-5.92104268 765.9 4.56983299
-5.92104268 771.9 4.57087067
-5.92104268 777.9 4.57190833
-5.92104268 783.9 4.57294597
-5.92104268 790.0 4.57398361
-5.92104268 796.0 4.57502124
-5.92104268 802.0 4.57605886
-5.92104268 808.0 4.57709647
-5.92104268 814.0 4.57813407
-5.92104268 820.1 4.57917166
-5.92104268 826.1 4.58020925
-5.92104268 832.1 4.58124682
-5.92104268 838.1 4.58228439
-5.92104268 844.1 4.58332195
-5.92104268 850.2 4.58435950
-5.92104268 856.2 4.58539705
-5.92104268 862.2 4.58643460
-5.92104268 868.2 4.58747213
-5.92104268 874.2 4.58850967
-5.92104268 880.3 4.58954719
-5.92104268 886.3 4.59058472
-5.92104268 892.3 4.59162224
-5.92104268 898.3 4.59265976
-5.92104268 904.3 4.59369728
-5.92104268 910.4 4.59473479
-5.92104268 916.4 4.59577230
-5.92104268 922.4 4.59680982
-5.92104268 928.4 4.59784733
-5.92104268 934.4 4.59888484
-5.92104268 940.5 4.59992235
-5.92104268 946.5 4.60095986
-5.92104268 952.5 4.60199738
-5.92104268 958.5 4.60303489
-5.92104268 964.5 4.60407241
-5.92104268 970.6 4.60510993
-5.92104268 976.6 4.60614745
-5.92104268 982.6 4.60718498
-5.92104268 988.6 4.60822250
-5.92104268 994.6 4.60926003
-5.92104268 1000.7 4.61029757
-5.92104268 1006.7 4.61133511
-5.92104268 1012.7 4.61237265
-5.92104268 1018.7 4.61341020
-5.92104268 1024.7 4.61444775
-5.92104268 1030.8 4.61548530
-5.92104268 1036.8 4.61652286
-5.92104268 1042.8 4.61756043
-5.92104268 1048.8 4.61859800
-5.92104268 1054.8 4.61963557
-5.92104268 1060.9 4.62067315
-5.92104268 1066.9 4.62171074
-5.92104268 1072.9 4.62274833
-5.92104268 1078.9 4.62378593
-5.92104268 1084.9 4.62482353
-5.92104268 1091.0 4.62586114
-5.92104268 1097.0 4.62689875
-5.92104268 1103.0 4.62793636
-5.92104268 1109.0 4.62897399
-5.92104268 1115.1 4.63001161
-5.92104268 1121.1 4.63104925
-5.92104268 1127.1 4.63208689
-5.92104268 1133.1 4.63312453
-5.92104268 1139.1 4.63443796
-5.92104268 1145.2 4.63547276
-5.92104268 1151.2 4.63651049
-5.92104268 1157.2 4.63754681
-5.92104268 1163.2 4.63858300
-5.92104268 1169.2 4.63961920
-5.92104268 1175.3 4.64038445
-5.92104268 1181.3 4.64142335
-5.92104268 1187.3 4.64246223
-5.92104268 1193.3 4.64349475
-5.92104268 1199.3 4.64453243
-5.92104268 1205.4 4.64557011
-5.92104268 1211.4 4.64661263
-5.92104268 1217.4 4.64765025
-5.92104268 1223.4 4.64868788
-5.92104268 1229.4 4.64972551
-5.92104268 1235.5 4.65076313
-5.92104268 1241.5 4.65180076
-5.92104268 1247.5 4.65283839
-5.92104268 1253.5 4.65387601
-5.92104268 1259.5 4.65490894
-5.92104268 1265.6 4.65594661
-5.92104268 1271.6 4.65698427
-5.92104268 1277.6 4.65802194
-5.92104268 1283.6 4.65905960
-5.92104268 1289.6 4.66009727
-5.92104268 1295.7 4.66113493
-5.92104268 1301.7 4.66217259
-5.92104268 1307.7 4.66321025
-5.92104268 1313.7 4.66424790
-5.92104268 1319.7 4.66528556
-5.92104268 1325.8 4.66632322
-5.92104268 1331.8 4.66736088
-5.92104268 1337.8 4.66839854
-5.92104268 1343.8 4.66943619
-5.92104268 1349.8 4.67047384
-5.92104268 1355.9 4.67151149
-5.92104268 1361.9 4.67254914
-5.92104268 1367.9 4.67358679
-5.92104268 1373.9 4.67462444
-5.92104268 1379.9 4.67566207
-5.92104268 1386.0 4.67669970
-5.92104268 1392.0 4.67773735
-5.92104268 1398.0 4.67877499
-5.92104268 1404.0 4.67981264
-5.92104268 1410.0 4.68085028
-5.92104268 1416.1 4.68188792
-5.92104268 1422.1 4.68292557
-5.92104268 1428.1 4.68396321
-5.92104268 1434.1 4.68500085
-5.92104268 1440.1 4.68603849
-5.92104268 1446.2 4.68707609
-5.92104268 1452.2 4.68811376
-5.92104268 1458.2 4.68915140
-5.92104268 1464.2 4.69018903
-5.92104268 1470.2 4.69122666
-5.92104268 1476.3 4.69226430
-5.92104268 1482.3 4.69330196
-5.92104268 1488.3 4.69433959
-5.92104268 1494.3 4.69537719
-5.92104268 1500.3 4.69641483
-5.92104268 1506.4 4.69745246
-5.92104268 1512.4 4.69849009
-5.92104268 1518.4 4.69952772
-5.92104268 1524.4 4.70056534
-5.92104268 1530.4 4.70160297
-5.92104268 1536.5 4.70264060
-5.92104268 1542.5 4.70367821
-5.92104268 1548.5 4.70471584
-5.92104268 1554.5 4.70575346
-5.92104268 1560.5 4.70679108
-5.92104268 1566.6 4.70782870
-5.92104268 1572.6 4.70886633
-5.92104268 1578.6 4.70990395
-5.92104268 1584.6 4.71094157
-5.92104268 1590.6 4.71197919
-5.92104268 1596.7 4.71301681
-5.92104268 1602.7 4.71405442
-5.92104268 1608.7 4.71509204
-5.92104268 1614.7 4.71612966
-5.92104268 1620.7 4.71716728
-5.92104268 1626.8 4.71820489
-5.92104268 1632.8 4.71924251
-5.92104268 1638.8 4.72028012
-5.92104268 1644.8 4.72131774
-5.92104268 1650.8 4.72235535
-5.92104268 1656.9 4.72339297
-5.92104268 1662.9 4.72443058
-5.92104268 1668.9 4.72546819
-5.92104268 1674.9 4.72650580
-5.92104268 1680.9 4.72754341
-5.92104268 1687.0 4.72858102
-5.92104268 1693.0 4.72961863
-5.92104268 1699.0 4.73065624
-5.92104268 1705.0 4.73169385
-5.92104268 1711.0 4.73273145
-5.92104268 1717.1 4.73376906
-5.92104268 1723.1 4.73480667
-5.92104268 1729.1 4.73584428
-5.92104268 1735.1 4.73688189
-5.92104268 1741.1 4.73791950
-5.92104268 1747.2 4.73895711
-5.92104268 1753.2 4.73999471
-5.92104268 1759.2 4.74103232
-5.92104268 1765.2 4.74206992
-5.92104268 1771.2 4.74310752
-5.92104268 1777.3 4.74414513
-5.92104268 1783.3 4.74518273
-5.92104268 1789.3 4.74622033
-5.92104268 1795.3 4.74725794
-5.92104268 1801.3 4.74829554
-5.92104268 1807.4 4.74933314
-5.92104268 1813.4 4.75037074
-5.92104268 1819.4 4.75140834
-5.92104268 1825.4 4.75244594
-5.92104268 1831.4 4.75348354
-5.92104268 1837.5 4.75452114
-5.92104268 1843.5 4.75555874
-5.92104268 1849.5 4.75659634
-5.92104268 1855.5 4.75763394
-5.92104268 1861.5 4.75867153
-5.92104268 1867.6 4.75970913
-5.92104268 1873.6 4.76074673
-5.92104268 1879.6 4.76178433
-5.92104268 1885.6 4.76282192
-5.92104268 1891.6 4.76385952
-5.92104268 1897.7 4.76489711
-5.92104268 1903.7 4.76593471
-5.92104268 1909.7 4.76697230
-5.92104268 1915.7 4.76800990
-5.92104268 1921.7 4.76904749
-5.92104268 1927.8 4.77008509
-5.92104268 1933.8 4.77112268
-5.92104268 1939.8 4.77216027
-5.92104268 1945.8 4.77319786
-5.92104268 1951.8 4.77423546
-5.92104268 1957.9 4.77527305
-5.92104268 1963.9 4.77631064
-5.92104268 1969.9 4.77734823
-5.92104268 1975.9 4.77838582
-5.92104268 1981.9 4.77942341
-5.92104268 1988.0 4.78046101
-5.92104268 1994.0 4.78149860
-5.92104268 2000.0 4.78253619
-5.88141259 200.0 4.47087023
-5.88141259 206.0 4.47191475
-5.88141259 212.0 4.47295885
-5.88141259 218.1 4.47400255
-5.88141259 224.1 4.47504589
-5.88141259 230.1 4.47608890
-5.88141259 236.1 4.47713161
-5.88141259 242.1 4.47817404
-5.88141259 248.2 4.47921622
-5.88141259 254.2 4.48025816
-5.88141259 260.2 4.48129988
-5.88141259 266.2 4.48234139
-5.88141259 272.2 4.48338272
-5.88141259 278.3 4.48442387
-5.88141259 284.3 4.48546486
-5.88141259 290.3 4.48650569
-5.88141259 296.3 4.48754638
-5.88141259 302.3 4.48858694
-5.88141259 308.4 4.48962736
-5.88141259 314.4 4.49066767
-5.88141259 320.4 4.49170787
-5.88141259 326.4 4.49274797
-5.88141259 332.4 4.49378796
-5.88141259 338.5 4.49482787
-5.88141259 344.5 4.49586768
-5.88141259 350.5 4.49690741
-5.88141259 356.5 4.49794706
-5.88141259 362.5 4.49898664
-5.88141259 368.6 4.50002615
-5.88141259 374.6 4.50106559
-5.88141259 380.6 4.50210497
-5.88141259 386.6 4.50314428
-5.88141259 392.6 4.50418354
-5.88141259 398.7 4.50522275
-5.88141259 404.7 4.50626190
-5.88141259 410.7 4.50730101
-5.88141259 416.7 4.50834007
-5.88141259 422.7 4.50937908
-5.88141259 428.8 4.51041805
-5.88141259 434.8 4.51145698
-5.88141259 440.8 4.51249588
-5.88141259 446.8 4.51353473
-5.88141259 452.8 4.51457356
-5.88141259 458.9 4.51561234
-5.88141259 464.9 4.51665110
-5.88141259 470.9 4.51768983
-5.88141259 476.9 4.51872853
-5.88141259 482.9 4.51976721
-5.88141259 489.0 4.52080585
-5.88141259 495.0 4.52184448
-5.88141259 501.0 4.52288308
-5.88141259 507.0 4.52392165
-5.88141259 513.0 4.52496021
-5.88141259 519.1 4.52599874
-5.88141259 525.1 4.52703726
-5.88141259 531.1 4.52807575
-5.88141259 537.1 4.52911423
-5.88141259 543.1 4.53015269
-5.88141259 549.2 4.53119114
-5.88141259 555.2 4.53222956
-5.88141259 561.2 4.53326797
-5.88141259 567.2 4.53430637
-5.88141259 573.2 4.53534474
-5.88141259 579.3 4.53638311
-5.88141259 585.3 4.53742145
-5.88141259 591.3 4.53845979
-5.88141259 597.3 4.53949810
-5.88141259 603.3 4.54053641
-5.88141259 609.4 4.54157470
-5.88141259 615.4 4.54261297
-5.88141259 621.4 4.54365123
-5.88141259 627.4 4.54468947
-5.88141259 633.4 4.54572770
-5.88141259 639.5 4.54676591
-5.88141259 645.5 4.54780411
-5.88141259 651.5 4.54884229
-5.88141259 657.5 4.54988046
-5.88141259 663.5 4.55091861
-5.88141259 669.6 4.55195674
-5.88141259 675.6 4.55299486
-5.88141259 681.6 4.55403297
-5.88141259 687.6 4.55507106
-5.88141259 693.6 4.55610913
-5.88141259 699.7 4.55714719
-5.88141259 705.7 4.55818523
-5.88141259 711.7 4.55922325
-5.88141259 717.7 4.56026126
-5.88141259 723.7 4.56129926
-5.88141259 729.8 4.56233723
-5.88141259 735.8 4.56337520
-5.88141259 741.8 4.56441314
-5.88141259 747.8 4.56545108
-5.88141259 753.8 4.56648899
-5.88141259 759.9 4.56752689
-5.88141259 765.9 4.56856478
-5.88141259 771.9 4.56960265
-5.88141259 777.9 4.57064051
-5.88141259 783.9 4.57167836
-5.88141259 790.0 4.57271619
-5.88141259 796.0 4.57375401
-5.88141259 802.0 4.57479181
-5.88141259 808.0 4.57582961
-5.88141259 814.0 4.57686739
-5.88141259 820.1 4.57790516
-5.88141259 826.1 4.57894292
-5.88141259 832.1 4.57998067
-5.88141259 838.1 4.58101841
-5.88141259 844.1 4.58205614
-5.88141259 850.2 4.58309386
-5.88141259 856.2 4.58413157
-5.88141259 862.2 4.58516927
-5.88141259 868.2 4.58620697
-5.88141259 874.2 4.58724466
-5.88141259 880.3 4.58828234
-5.88141259 886.3 4.58932002
-5.88141259 892.3 4.59035769
-5.88141259 898.3 4.59139536
-5.88141259 904.3 4.59243302
-5.88141259 910.4 4.59347068
-5.88141259 916.4 4.59450834
-5.88141259 922.4 4.59554599
-5.88141259 928.4 4.59658364
-5.88141259 934.4 4.59762129
-5.88141259 940.5 4.59865894
-5.88141259 946.5 4.59969658
-5.88141259 952.5 4.60073423
-5.88141259 958.5 4.60177187
-5.88141259 964.5 4.60280951
-5.88141259 970.6 4.60384716
-5.88141259 976.6 4.60488481
-5.88141259 982.6 4.60592245
-5.88141259 988.6 4.60696010
-5.88141259 994.6 4.60799775
-5.88141259 1000.7 4.60903540
-5.88141259 1006.7 4.61007306
-5.88141259 1012.7 4.61111072
-5.88141259 1018.7 4.61214838
-5.88141259 1024.7 4.61318604
-5.88141259 1030.8 4.61422370
-5.88141259 1036.8 4.61526137
-5.88141259 1042.8 4.61629905
-5.88141259 1048.8 4.61733672
-5.88141259 1054.8 4.61837440
-5.88141259 1060.9 4.61941209
-5.88141259 1066.9 4.62044978
-5.88141259 1072.9 4.62148747
-5.88141259 1078.9 4.62252516
-5.88141259 1084.9 4.62356286
-5.88141259 1091.0 4.62460057
-5.88141259 1097.0 4.62563828
-5.88141259 1103.0 4.62667599
-5.88141259 1109.0 4.62771370
-5.88141259 1115.1 4.62875142
-5.88141259 1121.1 4.62978915
-5.88141259 1127.1 4.63082688
-5.88141259 1133.1 4.63186461
-5.88141259 1139.1 4.63285753
-5.88141259 1145.2 4.63389580
-5.88141259 1151.2 4.63493407
-5.88141259 1157.2 4.63597638
-5.88141259 1163.2 4.63701587
-5.88141259 1169.2 4.63805534
-5.88141259 1175.3 4.63913869
-5.88141259 1181.3 4.64017759
-5.88141259 1187.3 4.64121646
-5.88141259 1193.3 4.64224928
-5.88141259 1199.3 4.64328697
-5.88141259 1205.4 4.64432466
-5.88141259 1211.4 4.64536235
-5.88141259 1217.4 4.64640003
-5.88141259 1223.4 4.64743772
-5.88141259 1229.4 4.64847540
-5.88141259 1235.5 4.64951308
-5.88141259 1241.5 4.65055077
-5.88141259 1247.5 4.65158667
-5.88141259 1253.5 4.65262437
-5.88141259 1259.5 4.65366206
-5.88141259 1265.6 4.65469976
-5.88141259 1271.6 4.65573745
-5.88141259 1277.6 4.65677514
-5.88141259 1283.6 4.65781282
-5.88141259 1289.6 4.65885225
-5.88141259 1295.7 4.65988992
-5.88141259 1301.7 4.66092759
-5.88141259 1307.7 4.66196525
-5.88141259 1313.7 4.66300292
-5.88141259 1319.7 4.66404058
-5.88141259 1325.8 4.66507824
-5.88141259 1331.8 4.66611591
-5.88141259 1337.8 4.66715357
-5.88141259 1343.8 4.66819123
-5.88141259 1349.8 4.66922889
-5.88141259 1355.9 4.67026654
-5.88141259 1361.9 4.67130420
-5.88141259 1367.9 4.67234185
-5.88141259 1373.9 4.67337951
-5.88141259 1379.9 4.67441716
-5.88141259 1386.0 4.67545481
-5.88141259 1392.0 4.67649247
-5.88141259 1398.0 4.67753012
-5.88141259 1404.0 4.67856777
-5.88141259 1410.0 4.67960541
-5.88141259 1416.1 4.68064306
-5.88141259 1422.1 4.68168071
-5.88141259 1428.1 4.68271835
-5.88141259 1434.1 4.68375600
-5.88141259 1440.1 4.68479364
-5.88141259 1446.2 4.68583125
-5.88141259 1452.2 4.68686893
-5.88141259 1458.2 4.68790657
-5.88141259 1464.2 4.68894421
-5.88141259 1470.2 4.68998185
-5.88141259 1476.3 4.69101949
-5.88141259 1482.3 4.69205713
-5.88141259 1488.3 4.69309480
-5.88141259 1494.3 4.69413240
-5.88141259 1500.3 4.69517003
-5.88141259 1506.4 4.69620767
-5.88141259 1512.4 4.69724530
-5.88141259 1518.4 4.69828294
-5.88141259 1524.4 4.69932057
-5.88141259 1530.4 4.70035820
-5.88141259 1536.5 4.70139583
-5.88141259 1542.5 4.70243346
-5.88141259 1548.5 4.70347109
-5.88141259 1554.5 4.70450872
-5.88141259 1560.5 4.70554635
-5.88141259 1566.6 4.70658398
-5.88141259 1572.6 4.70762160
-5.88141259 1578.6 4.70865923
-5.88141259 1584.6 4.70969685
-5.88141259 1590.6 4.71073448
-5.88141259 1596.7 4.71177210
-5.88141259 1602.7 4.71280973
-5.88141259 1608.7 4.71384735
-5.88141259 1614.7 4.71488497
-5.88141259 1620.7 4.71592259
-5.88141259 1626.8 4.71696021
-5.88141259 1632.8 4.71799783
-5.88141259 1638.8 4.71903545
-5.88141259 1644.8 4.72007307
-5.88141259 1650.8 4.72111069
-5.88141259 1656.9 4.72214831
-5.88141259 1662.9 4.72318593
-5.88141259 1668.9 4.72422354
-5.88141259 1674.9 4.72526116
-5.88141259 1680.9 4.72629878
-5.88141259 1687.0 4.72733639
-5.88141259 1693.0 4.72837401
-5.88141259 1699.0 4.72941162
-5.88141259 1705.0 4.73044923
-5.88141259 1711.0 4.73148685
-5.88141259 1717.1 4.73252446
-5.88141259 1723.1 4.73356207
-5.88141259 1729.1 4.73459968
-5.88141259 1735.1 4.73563729
-5.88141259 1741.1 4.73667491
-5.88141259 1747.2 4.73771252
-5.88141259 1753.2 4.73875012
-5.88141259 1759.2 4.73978773
-5.88141259 1765.2 4.74082534
-5.88141259 1771.2 4.74186295
-5.88141259 1777.3 4.74290056
-5.88141259 1783.3 4.74393816
-5.88141259 1789.3 4.74497577
-5.88141259 1795.3 4.74601338
-5.88141259 1801.3 4.74705098
-5.88141259 1807.4 4.74808859
-5.88141259 1813.4 4.74912619
-5.88141259 1819.4 4.75016380
-5.88141259 1825.4 4.75120140
-5.88141259 1831.4 4.75223901
-5.88141259 1837.5 4.75327661
-5.88141259 1843.5 4.75431421
-5.88141259 1849.5 4.75535181
-5.88141259 1855.5 4.75638942
-5.88141259 1861.5 4.75742702
-5.88141259 1867.6 4.75846462
-5.88141259 1873.6 4.75950222
-5.88141259 1879.6 4.76053982
-5.88141259 1885.6 4.76157742
-5.88141259 1891.6 4.76261502
-5.88141259 1897.7 4.76365262
-5.88141259 1903.7 4.76469022
-5.88141259 1909.7 4.76572781
-5.88141259 1915.7 4.76676541
-5.88141259 1921.7 4.76780301
-5.88141259 1927.8 4.76884061
-5.88141259 1933.8 4.76987820
-5.88141259 1939.8 4.77091580
-5.88141259 1945.8 4.77195340
-5.88141259 1951.8 4.77299099
-5.88141259 1957.9 4.77402859
-5.88141259 1963.9 4.77506618
-5.88141259 1969.9 4.77610378
-5.88141259 1975.9 4.77714137
-5.88141259 1981.9 4.77817897
-5.88141259 1988.0 4.77921656
-5.88141259 1994.0 4.78025415
-5.88141259 2000.0 4.78129175
-5.84178250 200.0 4.46955362
-5.84178250 206.0 4.47059876
-5.84178250 212.0 4.47164349
-5.84178250 218.1 4.47268783
-5.84178250 224.1 4.47373181
-5.84178250 230.1 4.47477547
-5.84178250 236.1 4.47581882
-5.84178250 242.1 4.47686189
-5.84178250 248.2 4.47790469
-5.84178250 254.2 4.47894725
-5.84178250 260.2 4.47998958
-5.84178250 266.2 4.48103170
-5.84178250 272.2 4.48207362
-5.84178250 278.3 4.48311535
-5.84178250 284.3 4.48415691
-5.84178250 290.3 4.48519830
-5.84178250 296.3 4.48623954
-5.84178250 302.3 4.48728063
-5.84178250 308.4 4.48832158
-5.84178250 314.4 4.48936241
-5.84178250 320.4 4.49040311
-5.84178250 326.4 4.49144370
-5.84178250 332.4 4.49248417
-5.84178250 338.5 4.49352454
-5.84178250 344.5 4.49456482
-5.84178250 350.5 4.49560500
-5.84178250 356.5 4.49664509
-5.84178250 362.5 4.49768510
-5.84178250 368.6 4.49872503
-5.84178250 374.6 4.49976488
-5.84178250 380.6 4.50080466
-5.84178250 386.6 4.50184437
-5.84178250 392.6 4.50288401
-5.84178250 398.7 4.50392359
-5.84178250 404.7 4.50496312
-5.84178250 410.7 4.50600258
-5.84178250 416.7 4.50704199
-5.84178250 422.7 4.50808135
-5.84178250 428.8 4.50912066
-5.84178250 434.8 4.51015992
-5.84178250 440.8 4.51119913
-5.84178250 446.8 4.51223831
-5.84178250 452.8 4.51327744
-5.84178250 458.9 4.51431653
-5.84178250 464.9 4.51535559
-5.84178250 470.9 4.51639461
-5.84178250 476.9 4.51743359
-5.84178250 482.9 4.51847255
-5.84178250 489.0 4.51951147
-5.84178250 495.0 4.52055036
-5.84178250 501.0 4.52158922
-5.84178250 507.0 4.52262806
-5.84178250 513.0 4.52366686
-5.84178250 519.1 4.52470565
-5.84178250 525.1 4.52574441
-5.84178250 531.1 4.52678314
-5.84178250 537.1 4.52782185
-5.84178250 543.1 4.52886054
-5.84178250 549.2 4.52989921
-5.84178250 555.2 4.53093786
-5.84178250 561.2 4.53197649
-5.84178250 567.2 4.53301510
-5.84178250 573.2 4.53405368
-5.84178250 579.3 4.53509225
-5.84178250 585.3 4.53613080
-5.84178250 591.3 4.53716933
-5.84178250 597.3 4.53820785
-5.84178250 603.3 4.53924634
-5.84178250 609.4 4.54028482
-5.84178250 615.4 4.54132328
-5.84178250 621.4 4.54236172
-5.84178250 627.4 4.54340014
-5.84178250 633.4 4.54443854
-5.84178250 639.5 4.54547693
-5.84178250 645.5 4.54651530
-5.84178250 651.5 4.54755365
-5.84178250 657.5 4.54859199
-5.84178250 663.5 4.54963030
-5.84178250 669.6 4.55066860
-5.84178250 675.6 4.55170688
-5.84178250 681.6 4.55274514
-5.84178250 687.6 4.55378338
-5.84178250 693.6 4.55482161
-5.84178250 699.7 4.55585981
-5.84178250 705.7 4.55689800
-5.84178250 711.7 4.55793617
-5.84178250 717.7 4.55897433
-5.84178250 723.7 4.56001246
-5.84178250 729.8 4.56105058
-5.84178250 735.8 4.56208868
-5.84178250 741.8 4.56312676
-5.84178250 747.8 4.56416483
-5.84178250 753.8 4.56520288
-5.84178250 759.9 4.56624091
-5.84178250 765.9 4.56727892
-5.84178250 771.9 4.56831692
-5.84178250 777.9 4.56935491
-5.84178250 783.9 4.57039288
-5.84178250 790.0 4.57143083
-5.84178250 796.0 4.57246877
-5.84178250 802.0 4.57350669
-5.84178250 808.0 4.57454461
-5.84178250 814.0 4.57558250
-5.84178250 820.1 4.57662039
-5.84178250 826.1 4.57765826
-5.84178250 832.1 4.57869612
-5.84178250 838.1 4.57973397
-5.84178250 844.1 4.58077181
-5.84178250 850.2 4.58180964
-5.84178250 856.2 4.58284746
-5.84178250 862.2 4.58388526
-5.84178250 868.2 4.58492307
-5.84178250 874.2 4.58596086
-5.84178250 880.3 4.58699864
-5.84178250 886.3 4.58803642
-5.84178250 892.3 4.58907419
-5.84178250 898.3 4.59011195
